,article,lang
0,"Angélica Delfina Vásquez Cruz, also known as the Ceramista del Preciosismo (b.  September ), is a Mexican artist specializing in clay crafts.


 Biography 
Angélica Delfina Vásquez Cruz was born in Santa María Atzompa on  September  to Delfina Cruz Díaz and Ernesto Vásquez Reyes, who taught their daughter artisan works and how to fashion toys, small jars, pots, and pans. In , after learning how to decorate handicrafts, Vásquez began making her own crafts in her own style, inspired by the mythology, culture, and folklore of her some state, Oaxaca, which her maternal grandmother taught her.
Vásquez has exhibited her works at the Mexican Fiesta at Millville, New Jersey in , the Popular Art Museum of Oaxaca in San Bartolo Coyotepec in , the National Museum of the American Indian in Washington D.C. in , the Eyes Gallery of the Mexican Fine Arts Center in Philadelphia in , the Chicago Museum's Celebrating Life exhibition in , the annual Day of the Dead exhibitions in Oaxaca de Juárez, the International Ceramics Festival in Aberystwyth Arts Center, Wales and at the Museum of the Cats in California in , among others.


 Citations 


 References ",eng
1,"The UCI Road World Championships are the annual world championships for bicycle road racing organized by the Union Cycliste Internationale (UCI). The UCI Road World Championships consist of events for road race and individual time trial, and as of  Team Time Trials.


 Events 
All the world championship events, except team time trials from , are ridden by national teams, not trade teams such as in most other major races. The winner of each category is entitled to wear the rainbow jersey in races of that category (either mass start or time trial) until the next championships. It currently includes the following championships:
Elite Men's road race
Elite Men's time trial
Men's team time trial (for trade teams)
Under- Men's road race
Under- Men's time trial
Junior Men's road race
Junior Men's time trial
Elite Women's road race
Elite Women's time trial
Women's team time trial (for trade teams)
Junior Women's road race
Junior Women's time trial
Former events:
Men's amateur road race
Men's team time trial (for national teams)
Women's team time trial (for national teams)


 History 
The first world championships took place in , though the only event that was contested was the Men's Road Race for Amateurs. The first professional world championship took place in July  at the Nürburgring in Germany where Italian Alfredo Binda won the professional men's race and Belgian Jean Aerts won the men's amateur race. The women's road race was introduced in . A men's team time trial, contested by national teams, was introduced in . Beginning in , the team time trial was discontinued in Olympic years only. Individual time trials in all categories were added in , which was also the last year for the original incarnation of the men's team time trial. In , the men's team time trial was reinstated, and a women's team time trial added to the program; both are contested by trade teams.
Until , there were separate races for male professional and amateur riders. In , the amateur category was replaced with a category for men under- years old with the professional category becoming an open (later elite) category.
Since , the race has been held towards the end of the European season in late September, usually following the Vuelta a España. Before that, the event had always been a summer race, held in late August or the first week of September (with the exception of , when it was a mid-season summer event).
The world championships are located in a different city or region every year. The event can be held over a relatively flat course which favors cycling sprinters or a hilly course which favors a climbing specialist or all-round. In each case the course is usually held on a circuit of which the riders complete multiple laps.
The world championship road race and two of the three Grand Tours (namely the Giro d'Italia and the Tour de France) form the Triple Crown of Cycling.


 Championships 


 All-time medal table 
Updated after  Championships.
Medal table includes only medals achieved in elite (senior) events. Mixed nation team events such as the Team Time Trial from  to  are excluded.


 Countries 
 Belgium at the UCI Road World Championships
 Germany at the UCI Road World Championships
 Italy at the UCI Road World Championships
 Netherlands at the UCI Road World Championships
 United States at the UCI Road World Championships


 See also 
UCI World Championships


 References ",eng
2,"Harriet Ntabazi (born  December ) is a Ugandan politician. She was appointed State Minister for Industry in the Ugandan Cabinet on  June . However, her appointment was rejected by the parliamentary appointments committee. She was therefore not sworn in with the rest of the cabinet on  June . Between  and , she served as the Women's Representative for Bundibugyo in the Parliament of Uganda.


 Background and education 
Ntabazi was born on  December  in Bundibugyo District, in the Western Region of Uganda. She attended Bumadu Primary School for her elementary schooling, graduating in . She then attended Semuliki High School for her O-Level studies. She then studied at Bundibugyo Primary Teachers College, graduating with a Grade II Primary Teachers Certificate, in . In , she graduated from St. Mary's Simbya High School. She then joined Makerere University in , graduating in  with a Bachelor of Arts.


 Career 
From  until , Ntabazi served as a Records Clerk. She then worked as a librarian at Semuliki High School, from  until . She served as a District Youth Councillor between  until . From  until , she served as the Women's Representative on the Bundibugyo District Local Government Council. She concurrently worked as a senior mobilizer for the ruling National Resistance Movement (NRM) political party from  until . She entered elective politics in  and at the  general election was elected to represent the Women's Representative for Bundibugyo in the Parliament of Uganda on behalf of the NRM, having defeated incumbent Jane Alisemera in the NRM primary. In , however, she lost the NRM primary to Josephine Babungi Benona and consequently did not contest the  general election.
On  June , she was appointed State Minister for Industry, replacing Werikhe Kafabusa, but her appointment was rejected by the parliamentary appointments committee.


 See also 
Cabinet of Uganda
Parliament of Uganda


 References 


 External links 
Website of Parliament of Uganda",eng
3,"Ctenopseustis fraterna, the brownheaded leafroller, is a species of moth of the Tortricidae family. It is found in New Zealand, where it has been recorded from the North Island only. The common name is also used for the related species Ctenopseustis herana and Ctenopseustis obliquana.
Adults have a dark chocolate, purplish or chocolate/orange brown/ash colour pattern.
The larvae feed on Cyathea dealbata, Cyathea smithii, Dicksonia fibrosa, Dicksonia squarrosa and Sticherus cunninghamii.


 References ",eng
4,"Islington Studios often known as Gainsborough Studios were a British film studio located on the south bank of the Regent's Canal, in Poole Street, Hoxton in the former Metropolitan Borough of Shoreditch, London between  and . The studios are closely associated with Gainsborough Pictures which was based there for most of the studio's history. During its existence Islington worked closely with its sister Lime Grove Studios in Shepherd's Bush and many films were made partly at one studio and partly at the other. Amongst the films made at the studios were Alfred Hitchcock thrillers, Will Hay comedies and Gainsborough Melodramas.


 History 
The studios were originally built as a power station for the Great Northern & City Railway, and were acquired by the major American company Famous Players-Lasky which wanted to set up a British subsidiary. The building was converted into a two-stage studio, and production began in . During this era Alfred Hitchcock made his start in films, when he was employed as an intertitle writer at Islington. In  the Hollywood company sold off the studios which were bought by Michael Balcon's Gainsborough Pictures. The company enjoyed some success turning out silent films during the s, at a time when other British companies were struggling.
In the late s Gainsborough merged with the larger British Gaumont which owned the Lime Grove Studios. The conglomerate had ambitious plans to challenge Hollywood and produce more than twenty films a year. The larger Lime Grove complex was selected to make expensive films while Islington was designated the cheaper films, particularly comedies. However, during these years it served as an overflow studio and many films scheduled for Shepherd's Bush were made partly at Islington.
During the Slump of , British Gaumont shut down production. Although it considered giving up filmmaking completely, it was decided to continue Gainsborough Pictures making slightly cheaper films. Shepherd's Bush was shut down and all production switched to Islington. The success of some of these late s Islington productions such as The Lady Vanishes helped Gainsborough to keep in business.
Unlike many other studios, Islington was not requisitioned when war broke out and production continued there, but the studio was temporarily closed because it was feared that a direct hit from a German bomb during an air raid would make the large chimney collapse. All production was switched to re-opened Lime Grove. Both studios came under the control of the Rank Organisation when it bought Gainsborough in .
Following the war, Islington were re-opened. In  Betty Box was placed in charge of the studios when her brother Sydney Box was appointed by Rank to run Gainsborough Pictures. Over the next three years the studio turned out a large number of thrillers and comedies. In  both Islington and Shepherd's Bush were closed when Rank concentrated production at Pinewood Studios. Today a block of flats stand where the studio used to be.


 See also 
List of Gainsborough Pictures films


 References 


 Bibliography 
Macnab, Geoffrey. J. Arthur Rank and the British Film Industry. Routledge, .
Murphy, Robert. Realism and Tinsel: Cinema and Society in Britain, –. Routledge, .
Warren, Patricia. British Film Studios: An Illustrated History. Batsford, .


 External links 
London’s Hollywood: The Gainsborough Film Studio’s Silent Years article at Brenton Film",eng
5,"Licinius II or Licinius the Younger (full name: Valerius Licinianus Licinius) (approx. –) was the son of Roman emperor Licinius. On the first of March , he was raised to the rank of Caesar at the age of  months; nominally serving as such in the eastern empire until  AD, while his father was Augustus. His mother was Licinius' wife Flavia Julia Constantia, who was also the half-sister of Constantine I.
After his defeat by Constantine at the Battle of Chrysopolis, Licinius the elder was initially spared and placed in captivity at Thessalonica. However, within a year Constantine seems to have regretted his leniency and the former Emperor was hanged.
The younger Licinius, who was Constantine's nephew, also fell victim to the emperor's suspicions and was killed, probably in the context of the execution of Crispus in .
Other reports relate that Licinius the younger was forced into slavery in the imperial textile factories in Africa, where a ""son of Licinianus"" is noted in an imperial rescript dated . However, the rescript makes it clear that the ""son of Licinianus"" referred to was not likely to have been Licinius II, as the text contains a directive that the textile worker be reduced to the slave status of his birth. No son of Constantine's sister would have been referred to in this manner.


 References 

Dietmar Kienast: Römische Kaisertabelle. Grundzüge einer römischen Kaiserchronologie. Wiss. Buchgesellschaft, . Auflage, Darmstadt  (unveränderter Nachdruck der ., durchgesehenen und erw. Auflage ), S. , ISBN ---. (in German)",eng
6,"Jefferson County is the easternmost county of the U.S. state of West Virginia. As of the  census the population was ,. Its county seat is Charles Town. The county was founded in .
Jefferson County is part of the Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area.


 History 


 Formation 
Jefferson County was formed from Berkeley County in  because the citizens of southeastern Berkeley county felt they had to travel too far to the county seat of Martinsburg. Charles Washington, the founder of Charles Town and brother to George Washington petitioned for a new county to be formed. It was named for Thomas Jefferson, author of the Declaration of Independence and third President of the United States. Virginia previously had a Jefferson County, which is now part of Kentucky. Accordingly, in the State records of Virginia, there will be listings for Jefferson County from - and Jefferson County from -, neither of which is still in Virginia.


 John Brown Rebellion 

The county's courthouse was the site of the trial for the abolitionist John Brown after his October  raid on the federal armory in Harpers Ferry. Some  U.S. Marines serving under then Army Colonel Robert E. Lee and Lieutenants J.E.B. Stuart and Israel Green put down the rebellion.
Brown was sentenced to death for murder, treason against the Commonwealth of Virginia, and conspiring with slaves to rebel. On  December  John Brown was taken from the Charles Town jail a short distance to an open field and hanged. Among those attending the Brown execution was a contingent of  cadets from Virginia Military Institute sent by the Governor of Virginia Henry A. Wise under the supervision of Major William Gilham and Major Thomas J. Jackson. In the ranks of a Richmond militia company stood John Wilkes Booth.


 Civil War 
The county was a frequent site of conflict during the civil war, as Union and Confederate lines moved back and forth along the Shenandoah Valley. Some towns in the county changed hands between the Union and Confederacy over a dozen times, including Charles Town, and especially Harpers Ferry.
Jefferson County is the only part of modern-day West Virginia not exempted from the effects of the Emancipation Proclamation (as Berkeley County and the  counties designated as West Virginia had been). Slaves in the county were legally free as of January , .
The Jefferson County Courthouse is the only courthouse in America to have held two treason trials: the trial of John Brown in  and a trial arising from the Battle of Blair Mountain labor rebellion.


 Joining West Virginia 

Both Berkeley and Jefferson counties had voted for secession in the vote taken on May , . However, these counties lying on the Potomac River in the Shenandoah Valley, with the consent of the Reorganized Government of Virginia voted in favor of annexation to West Virginia in  in a dubious election supervised by the occupying Union Army. Virginia tried to nullify this after the American Civil War, but the counties remained part of West Virginia.
The question of the constitutionality of the formation of the new state was brought before the Supreme Court of the United States in the following manner: Berkeley and Jefferson County, West Virginia, counties lying on the Potomac east of the mountains, in , with the consent of the Reorganized Government of Virginia, had supposedly voted in favor of annexation to West Virginia. However, many voters were absent in the Confederate Army when the vote was taken and they refused to accept the transfer upon their return. The Virginia General Assembly repealed the Act of Secession and in  brought suit against West Virginia, asking the Supreme Court to declare the counties still part of Virginia. Congress, on March , , passed a joint resolution recognizing the transfer. In , the U.S. Supreme Court decided Virginia v. West Virginia, upholding the ""secession"" of West Virginia, including Berkeley and Jefferson counties, from Virginia. In , West Virginia state delegate Larry Kump sponsored legislation to allow Morgan, Berkeley, and Jefferson counties to rejoin Virginia by popular vote.


 Rural Free Delivery 
In October , Jefferson County became the first county in the United States to begin Rural Free Delivery service in the towns of Halltown and Uvilla.


 Geography 

According to the U.S. Census Bureau, the county has a total area of  square miles ( km), of which  square miles ( km) is land and . square miles (. km) (.%) is water. It is the only West Virginia county where the Blue Ridge Mountains and Shenandoah River that John Denver sang about in the song ""Take Me Home, Country Roads"" can be found. The lowest point in the state of West Virginia is located on the Potomac River (just east of Harpers Ferry) in Jefferson County, where it flows out of West Virginia and into Maryland.


 Demographics 


  census 
As of the census of , there were , people, , households, and , families residing in the county. The population density was  people per square mile (/km²). There were , housing units at an average density of  per square mile (/km²). The racial makeup of the county was .% White, .% Black or African American, .% Asian, .% Native American, .% Pacific Islander, .% from other races, and .% from two or more races. .% of the population were Hispanics or Latinos of any race.
There were , households out of which .% had children under the age of  living with them, .% were married couples living together, .% had a female householder with no husband present, and .% were non-families. .% of all households were made up of individuals and .% had someone living alone who was  years of age or older. The average household size was . and the average family size was ..
In the county, the population was spread out with .% under the age of , .% from  to , .% from  to , .% from  to , and .% who were  years of age or older. The median age was  years. For every  females there were . males. For every  females age  and over, there were . males.
The median income for a household in the county was $,, and the median income for a family was $,. Males had a median income of $, versus $, for females. The per capita income for the county was $,. About .% of families and .% of the population were below the poverty line, including .% of those under age  and .% of those age  or over.


  census 
As of the  United States Census, there were , people, , households, and , families residing in the county. The population density was . inhabitants per square mile (./km). There were , housing units at an average density of . per square mile (./km). The racial makeup of the county was .% white, .% black or African American, .% Asian, .% American Indian, .% Pacific islander, .% from other races, and .% from two or more races. Those of Hispanic or Latino origin made up .% of the population. In terms of ancestry, .% were German, .% were English, .% were Irish, and .% were American.
Of the , households, .% had children under the age of  living with them, .% were married couples living together, .% had a female householder with no husband present, .% were non-families, and .% of all households were made up of individuals. The average household size was . and the average family size was .. The median age was . years.
The median income for a household in the county was $, and the median income for a family was $,. Males had a median income of $, versus $, for females. The per capita income for the county was $,. About .% of families and .% of the population were below the poverty line, including .% of those under age  and .% of those age  or over.


 Politics 
Jefferson County has been a Republican-leaning county in the st century. However, since , it has rivaled Monongalia County (home to West Virginia University) as the most Democratic part of the state, likely due to its status as an exurban county of Washington, DC. For much of the th century, the county trended strongly Democratic due to historical sympathies for Confederate Virginia. In contrast to its rock-ribbed Unionist and Republican Eastern Panhandle sister Morgan County, Jefferson did not vote Republican until Dwight D. Eisenhower won by twenty-seven votes in , and afterwards voted Republican only in the  and  landslides, and in .


 Communities 


 Cities 
Charles Town (county seat)
Ranson


 Towns 
Bolivar
Harpers Ferry
Shepherdstown


 Census-designated places 
Middleway
Shannondale
Shenandoah Junction


 Unincorporated communities 


 Magisterial districts 

Charles Town
Harpers Ferry
Kabletown
Middleway
Shepherdstown


 Historic buildings and structures 

Middleway Historic District ()
White House Farm ()
Hopewell (Millville, West Virginia) ()
Harewood (West Virginia) ()
Mount Ellen (ca )
New Hopewell (), a farm comprising agricultural fields and historical buildings, located between Johnsontown and Leetown
Happy Retreat ()
Blakeley (West Virginia) ()
Claymont Court ()
Cedar Lawn ()
Barleywood Manor ()
Jacks-Manning Farm (Vinton Farm) ()
Grace Episcopal Church ()
Kabletown Church ()
Brown Shugart House ()


 Gallery 


 See also 
National Register of Historic Places listings in Jefferson County, West Virginia
Jefferson County Schools
List of routes in Jefferson County, West Virginia
List of county routes in Jefferson County, West Virginia
Jefferson County Sheriff's Department


 References 


 Further rerading 
Coletti, Matthew, ""'The Fate Which Takes Us:' Benjamin F. Beall and Jefferson County, (West) Virginia in the Civil War Era"" (U. Of Massachusetts MA Thesis ) online, major local newspaper -.


 External links 
Jefferson County Chamber of Commerce
Jefferson County Commission
Jefferson County Convention & Visitors Bureau
Jefferson County Development Authority
Jefferson County Historic Landmarks Commission
Jefferson County Local Emergency Planning Committee
Jefferson County Public Service District
Jefferson County Schools
Jefferson County Sheriff's Office
Jefferson County Fair
Mountain Heritage Arts and Crafts Festival
Jefferson County Citizens for Economic Preservation
Virtual tour of Jefferson County
Citizens Fire Company",eng
7,"USS Pelias (AS–), was a Griffin-class submarine tender in service with the United States Navy from  to .


 History 
Pelias was laid down as SS Mormacyork under Maritime Commission contract by Sun Shipbuilding and Dry Dock Co., Chester, Pennsylvania,  May ; launched  November ; sponsored by Miss Barbara W. Vickery; and delivered to Moore-McCormick Steamship Co.,  April . Mormacyork served for a short time on passenger service between ports in the United States and South America. Acquired by the Navy late in , she was renamed Pelias  January  and converted for Navy use as a submarine tender by Bethlehem Steel Co., Brooklyn, N.Y. Pelias commissioned at New York  September , Comdr. William Wakefield in command.


 World War II 
Following shakedown off New England, Pelias sailed for the Pacific  October . Steaming via San Diego, California, she arrived Pearl Harbor  November  as the tender for Submarine Squadron Six. Six days later she began sub overhauls at the Submarine Base where she was berthed during the Japanese attack  December . During the sneak attack her guns splashed one enemy torpedo plane, and damaged a second, as they made their deadly runs along the main channel little more than  yards from her port side. She resumed repair duty shortly after the attack and during the early months of the war provided valuable assistance as the United States Pacific Fleet prepared for the long struggle for supremacy of the Pacific.

After servicing almost a score of submarines at Pearl Harbor, Pelias steamed to San Francisco late in May  and took on spare parts, provisions, and ammunition. Departing for the Southwest Pacific  June , she touched at Melbourne, Australia,  July and reached Albany, Australia, the d. Assigned to duty under Rear Admiral Charles A. Lockwood, ComSubSoWesPac, she refitted the  submarines of Submarine Squadron  at Albany before shifting her base to Fremantle, Western Australia,  October. There, she relieved Holland as mother ship for the SoWesPac submarines, which pressed the attack against Japanese naval and merchant shipping. Except for brief deployments to Exmouth Gulf in May  and to Albany in March , Pelias operated out of Fremantle during her Australian employment. Between July  and May  she overhauled, repaired, and refitted  submarines of Submarine Squadrons , , and .
Ordered home in May , she departed Fremantle  May , touched at Pearl Harbor  June and reached San Francisco the th. For more than two months she underwent overhaul at Mare Island Naval Shipyard; thence, from  to  September, she steamed to Hawaii. Engine repairs delayed her deployment to Midway, but they did not hinder her sub-tending duties. She refitted  subs before sailing to Midway  January . Assigned to Submarine Squadron , Pelias completed  sub refits and voyage repairs during the next four months. Between  May and  June she steamed via Pearl to San Diego where she undertook the repair and decommissioning overhaul of the S class submarines of Submarine Squadron .


 Cold War 
Based at San Diego when hostilities ended  August, Pelias steamed to Tiburon Bay  September , thence to Mare Island  February . She was placed in commission in reserve  September , and in service in reserve  February . On  March  she was placed out of service in reserve, but later performed berthing ship duty at Mare Island until she decommissioned  June .
Pelias received one battle star for World War II service. The ships bell is currently on display at Cerritos College in Norwalk, CA.


 References 
This article incorporates text from the public domain Dictionary of American Naval Fighting Ships. The entry can be found here.


 External links 
Naval Vessel Register - AS
NavSource.org - USS Pelias",eng
8,"Eczemotes undata is a species of beetle in the family Cerambycidae. It was described by Montrouzier in . It is known from Papua New Guinea, Australia, and Moluccas.


 Subspecies 
Eczemotes undata keyana Breuning, 
Eczemotes undata undata (Montrouzier, )


 References ",eng
9,"Dungeons  is a strategy simulation video game developed by Realmforge Studios and published by Kalypso Media. It was released on October , , for Microsoft Windows, macOS, Linux, PlayStation  and Xbox One. It is the sequel to Dungeons .


 Gameplay 
Dungeons  follows a similar formula to Dungeons , where the player will alternate between attempting to trap heroes in their dungeon, and warring against the overworld above. In the dungeon, the player is tasked with building a maze of rooms filled with traps and enemies in order to lure and kill adventures. Above ground, the player uses their armies of various evil creatures to attempt to take over. The game features twenty single-player missions taking approximately an hour to complete, as well as a two-player co-op mode. New to the series are randomly-generated levels.
Kevan Brighting, who narrated the previous game and The Stanley Parable, returns to fill the same role.


 Plot 
The story takes place a short time after the end of Dungeon . After conquering the lands above, the Dungeon Lord becomes bored and attempts to invade a new continent. The over-sea invasion fails due to incompetence. The dark elf priestess Thalya, now chief lieutenant, must lead the front line.


 Reception 
Dungeons  received ""generally favorable"" reviews according to review aggregator Metacritic, for the PC platform.


 References 


 External links 
Official website",eng
