ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
1	to calculate, count	→	to take into account	Accepted	AZ	Polysemy	Sanskrit	sans1269	gaṇ	 'to count, to reckon' 	'to take into account' 	 	 Кочергина 187	 MR
2	to calculate, count	—	to respect	Accepted	AZ	Polysemy	Khmer	khme1253	rɔap	 'count' 	'esteem, respect' 	 	 Haser 2000, 181	 MR
3	to find	→	to have opinion	Accepted	DG	Polysemy	Ancient Greek	anci1242	εὑρίσκω	 'to find, to discover' 	'to count' 	 	 Cf. Modern Greek βρίσκω 'find: have opinion' Хориков, Малев 199	 MR
4	to taste	↔	to try, to attempt	Accepted	DG	Polysemy	Swahili	swah1253	onja	 'taste' 	'try' 	 	 Haser 2000, 176, Polikanov	 MR
5	to go, walk	→	to find	Accepted	DG	Polysemy	Lithuanian	lith1251	apeíti	 'to go round' 	'to find' 	 	 LRŽ 33	 MR
6	to think	→	to recall, recollect	Accepted	DG	Polysemy	Mandarin Chinese	mand1415	xiăng	 'to think, to reflect, to ponder' 	'to remember' 	 	 БКРС 14575	 MR
7	to turn, rotate (intr.)	→	to become	Accepted	AZ	Polysemy	Icelandic	icel1247	umsnúa	 'to turn' 	'to transform' 	 	 Берков	 MR
8	to know	→	to know how, to be able	Accepted	DG	Polysemy	Mehri	mehr1241	ġərōb	 'to know' 	'to know how (to do st.)' 	 	 (JM 140)	 MB
9	to search, to look for	—	to try, to attempt	Accepted	DG	Polysemy	Hungarian	hung1274	keres	 'look for something, seek something' 	'demand (something from someone)' 	 	 Haser 2000, 182	 MR
10	to speak	→	to read	Accepted	AZ	Polysemy	Mongolian (Khalkha)	halh1238	unši-	 'to call loudly' 	'to read' 	 	 	 DG
11	to calculate, count	→	to tell	Accepted	AZ	Derivation	Zulu		ɓala	 'count, calculate, take into account' → 		 	 Haser 2000, 181	 MR
12	to calculate, count	—	to read	Accepted	DG	Polysemy	Kilivila	kili1267	-kalava-	 'count' 	'read' 	 	 Haser 2000, 181	 MR
13	to calculate, count	→	to have opinion	Accepted	DG	Polysemy	Fula	fula1264	jatoo	 'to count' 	'to think, to consider' 	 	 ФРФС 262	 MR
14	to take	—	to get, obtain	New	DG	Polysemy	Bezhta	bezh1248	jokčal	   		 Халилов М.Ш. Бежтинско-русский словарь. Махачкала, 1995. С. 128.	 	 DG
15	<hat>	—	fool	Accepted	IG	Polysemy	Russian	russ1263	šljapa	 'hat' 	'ninny' 	 	 	 IG
16	sweet (taste)	→	lovely	Accepted	IG	Polysemy	Icelandic	icel1247	sætur	 'sweet' 	'pleasant' 	 	 Берков	 MR
17	salty	—	funny	Suspended	IG	Polysemy	Russian	russ1263	solenyj	 'salty' 	'obscene' 	 	 	 IG
18	to hear	→	to understand	Accepted	AZ	Polysemy	Nganasan	ngan1291	дильситiси	 'to listen' 	'to understand' 	 	 НМС 436	 MR
19	to remind	→	to be alike	Accepted	DG	Polysemy	Turkish	nucl1301	andır-	 'to remind' 	'to resemble smn' 	 	 ТуРС 55.	 IG
20	to hold (in hands)	—	to last	Suspended	IG	Polysemy	Gagauz	gaga1249	tut-	 'to hold, to trash, to restrain' 	'to last' 	 	 ГРМС 479.	 IG
21	to catch fire	—	to fight, scuffle	New	IG	Polysemy	Gagauz	gaga1249	tutuş-	 'to catch fire, to ignite' 	'to quarrel, to fight' 	 	 ГРМС 479-480.	 IG
22	to come	→	to get, obtain	New	DG	Polysemy	Chamalal	cham1309	biːla	   		 Магомедова П.Т. Чамалинско-русский словарь. Махачкала, 1999. С. 90-91.	 	 DG
23	to get, obtain	→	can, to be able	Suspended	DG	Polysemy	Vietnamese	viet1252	duoc	   		 Ошанин И.М., Ву Данг Ат (ред.) Вьетнамско-русский словарь. М., 1961. С. 202.	 	 DG
24	to get, obtain	→	to manage to do smth	New	DG	Derivation	Russian	russ1263	polučat'	 'who: NOM : what: ACC: from whom: from+GEN'  		 	 	 DG
25	to reach	→	to get, obtain	Suspended	DG	Polysemy	Lezgian	lezg1247	agaq’un	   		 Талибов Б.Б., Гаджиев М. Лезгинско-русский словарь. М., 1966. С. 30.	 	 DG
26	to find	—	to get, obtain	Accepted	DG	Polysemy	Bezhta	bezh1248	jĩqal	 'who: DAT: what: NOM' 	'who: DAT: what: NOM' 	 Халилов М.Ш. Бежтинско-русский словарь. Махачкала, 1995. С. 125.	 	 DG
27	to get, obtain	→	to contain	New	DG	Polysemy	English	stan1293	receive	   		 	 	 DG
28	to get, obtain	→	to receive visitors	Accepted	DG	Polysemy	English	stan1293	receive	   		 [Cobuild :1375, 1376]	 	 All
29	to get, obtain	→	to become infected	New	DG	Polysemy	Polish	poli1260	dostac	   		 Гессен Д., Стыпула Р. Большой польско-русский словарь. М., 1967. С. 153	 	 DG
30	to get, obtain	→	must	New	DG	Polysemy	Danish	dani1285	faa	   		 Крымова Н.И., Эмзина А.Я. Датско-русский словарь. М., 1950. С. 198.	 	 DG
31	free	→	can, to be able	Suspended	IG	Polysemy	Yakut	yaku1245	кѳҥүл	 'freedom, independence' 	'permission' 	 	 ЯРС 179.	 IG
32	to get, obtain	→	to wait	New	IG	Polysemy	Ancient Greek	anci1242	δέχομαι	 'to get, to receive' 	'to wait (for)' 	 	 LSJ 382	 IG
33	to get, obtain	→	to hear	New	IG	Polysemy	Ancient Greek	anci1242	δέχομαι	 'to get, to receive' 	'to perceive, to hear' 	 	 Не очень ясный случай	 IG
34	to listen	—	to obey	Accepted	IG	Polysemy	Korean	kore1280	tut-	 'to hear' 	'to obey' 	 	 Haser 2000, 176	 MR
35	to see/to look at	→	to have opinion	Accepted	IG	Polysemy	Swahili	swah1253	ona	 'to see, to notice' 	'to think' 	 	 Polikanov	 MR
36	to see/to look at	—	to try, to attempt	Accepted	DG	Polysemy	Japanese	nucl1643	миру	   		 	 	 IG
37	to see/to look at	→	to wait	Accepted	DG	Polysemy	Yir Yoront	yiry1245	mel wany	 'keep an eye out for' 	'wait and worry, glance' 	 	 mutual calque with Kuk-Narr yel yem 'looks': mel 'eye', wany 'throw'	 MR
38	to fall down	→	to receive visitors	New	AZ	Polysemy	Italian	ital1282	abbattersi	   		 	 1) to fall down, to crash down on the ground 	 DG
39	to receive visitors	→	to like	New	AZ	Polysemy	Italian	ital1282	incontrare	 'to meet' 	'	 	 	 DG
